external_id,barcode,layout_id,well_id,solvent,stock_conc,stock_conc_unit,pert_type,batch_id,cmpd_vol,cmpd_vol_unit,well_vol,well_vol_unit,cmpd_conc,cmpd_conc_unit,cell_line,cells_per_well,plate_size,plate_type,seeded,treatment,treatment_units,painted,painted_type
1089381097,PB000089,EPI-U2OS-48h-P01-L01,B13,DMSO,10.0,mM,poscon,Etoposide,12.5,nL,40,uL,3.125,uM,U2OS (AZ),900,384,Revvity PhenoPlate 6057302,2023-07-04  10:20:30,48,h,2023-07-06  10:40:00,automation_v5.0_blue_MagBead
1089381097,PB000089,EPI-U2OS-48h-P01-L01,B17,DMSO,100.0,perc,negcon,Dimethyl Sulfoxide,40.0,nL,40,uL,0.1,perc,U2OS (AZ),900,384,Revvity PhenoPlate 6057302,2023-07-04  10:20:30,48,h,2023-07-06  10:40:00,automation_v5.0_blue_MagBead
1089381097,PB000089,EPI-U2OS-48h-P01-L01,C07,DMSO,10.0,mM,negcon,D-Sorbitol,40.0,nL,40,uL,10.0,uM,U2OS (AZ),900,384,Revvity PhenoPlate 6057302,2023-07-04  10:20:30,48,h,2023-07-06  10:40:00,automation_v5.0_blue_MagBead
1089381097,PB000089,EPI-U2OS-48h-P01-L01,C16,DMSO,10.0,mM,poscon,Paclitaxel,40.0,nL,40,uL,10.0,uM,U2OS (AZ),900,384,Revvity PhenoPlate 6057302,2023-07-04  10:20:30,48,h,2023-07-06  10:40:00,automation_v5.0_blue_MagBead
1089381097,PB000089,EPI-U2OS-48h-P01-L01,C20,DMSO,100.0,perc,negcon,Dimethyl Sulfoxide,40.0,nL,40,uL,0.1,perc,U2OS (AZ),900,384,Revvity PhenoPlate 6057302,2023-07-04  10:20:30,48,h,2023-07-06  10:40:00,automation_v5.0_blue_MagBead
1089381097,PB000089,EPI-U2OS-48h-P01-L01,D06,DMSO,1.0,mM,negcon,D-Sorbitol,40.0,nL,40,uL,1.0,uM,U2OS (AZ),900,384,Revvity PhenoPlate 6057302,2023-07-04  10:20:30,48,h,2023-07-06  10:40:00,automation_v5.0_blue_MagBead
1089381097,PB000089,EPI-U2OS-48h-P01-L01,D10,DMSO,10.0,mM,poscon,Etoposide,40.0,nL,40,uL,10.0,uM,U2OS (AZ),900,384,Revvity PhenoPlate 6057302,2023-07-04  10:20:30,48,h,2023-07-06  10:40:00,automation_v5.0_blue_MagBead
1089381097,PB000089,EPI-U2OS-48h-P01-L01,D14,DMSO,100.0,perc,negcon,Dimethyl Sulfoxide,40.0,nL,40,uL,0.1,perc,U2OS (AZ),900,384,Revvity PhenoPlate 6057302,2023-07-04  10:20:30,48,h,2023-07-06  10:40:00,automation_v5.0_blue_MagBead
1089381097,PB000089,EPI-U2OS-48h-P01-L01,D21,DMSO,10.0,mM,negcon,D-Sorbitol,12.5,nL,40,uL,3.125,uM,U2OS (AZ),900,384,Revvity PhenoPlate 6057302,2023-07-04  10:20:30,48,h,2023-07-06  10:40:00,automation_v5.0_blue_MagBead
1089381097,PB000089,EPI-U2OS-48h-P01-L01,E02,DMSO,1.0,mM,poscon,Paclitaxel,40.0,nL,40,uL,1.0,uM,U2OS (AZ),900,384,Revvity PhenoPlate 6057302,2023-07-04  10:20:30,48,h,2023-07-06  10:40:00,automation_v5.0_blue_MagBead
1089381097,PB000089,EPI-U2OS-48h-P01-L01,E18,DMSO,100.0,perc,negcon,Dimethyl Sulfoxide,40.0,nL,40,uL,0.1,perc,U2OS (AZ),900,384,Revvity PhenoPlate 6057302,2023-07-04  10:20:30,48,h,2023-07-06  10:40:00,automation_v5.0_blue_MagBead
1089381097,PB000089,EPI-U2OS-48h-P01-L01,F03,DMSO,100.0,perc,negcon,Dimethyl Sulfoxide,40.0,nL,40,uL,0.1,perc,U2OS (AZ),900,384,Revvity PhenoPlate 6057302,2023-07-04  10:20:30,48,h,2023-07-06  10:40:00,automation_v5.0_blue_MagBead
1089381097,PB000089,EPI-U2OS-48h-P01-L01,F05,DMSO,100.0,perc,negcon,Dimethyl Sulfoxide,40.0,nL,40,uL,0.1,perc,U2OS (AZ),900,384,Revvity PhenoPlate 6057302,2023-07-04  10:20:30,48,h,2023-07-06  10:40:00,automation_v5.0_blue_MagBead
1089381097,PB000089,EPI-U2OS-48h-P01-L01,F16,DMSO,1.0,mM,poscon,Etoposide,40.0,nL,40,uL,1.0,uM,U2OS (AZ),900,384,Revvity PhenoPlate 6057302,2023-07-04  10:20:30,48,h,2023-07-06  10:40:00,automation_v5.0_blue_MagBead
1089381097,PB000089,EPI-U2OS-48h-P01-L01,G12,DMSO,100.0,perc,negcon,Dimethyl Sulfoxide,40.0,nL,40,uL,0.1,perc,U2OS (AZ),900,384,Revvity PhenoPlate 6057302,2023-07-04  10:20:30,48,h,2023-07-06  10:40:00,automation_v5.0_blue_MagBead
1089381097,PB000089,EPI-U2OS-48h-P01-L01,G15,DMSO,100.0,perc,negcon,Dimethyl Sulfoxide,40.0,nL,40,uL,0.1,perc,U2OS (AZ),900,384,Revvity PhenoPlate 6057302,2023-07-04  10:20:30,48,h,2023-07-06  10:40:00,automation_v5.0_blue_MagBead
